Date_Observed,Proposal_ID,Target_ID,ra,dec,Observation_ID,Instrument,Time_Observed,SIMBAD_Name,Source_Type
2019-03-01,A05_187,T03,128.127208,15.823942,A05_187T03_9000002748:: FR Cnc,sxt,17:34:08,V* FR Cnc,BYDra
2019-03-03,A05_103,T02,115.60375,-14.591806,A05_103T02_9000002750:: OH 231.8 +4.2,uvit1,06:26:18,Gaia DR2 3029591762195067904,Star
2019-03-03,A05_104,T02,122.81125,25.19306,A05_104T02_9000002752:: arp82,uvit1,12:55:22,[KBE97] 5,HI
2019-03-03,A05_082,T12,216.84514199999998,20.09704,A05_082T12_9000002754:: SDSS J142722.83+200549.4,uvit1,18:03:12,2MASX J14272281+2005493,Seyfert_2
2019-03-04,A05_188,T01,128.836062,-45.176432,A05_188T01_9000002756:: Vela Pulsar,laxpc1,01:11:40,NAME Vela Pulsar,Pulsar
2019-03-05,A05_167,T01,237.321667,21.828332999999997,A05_167T01_9000002758:: HCG77,uvit1,07:15:15,LEDA   56125,GinPair
2019-03-05,A05_075,T07,219.620833,33.335278,A05_075T07_9000002760:: KISSR2407,uvit2,22:10:02,KISS G1437-3866,EmG
2019-03-06,A05_072,T02,198.230417,18.169167,A05_072T02_9000002762:: NGC 5024,uvit2,10:58:14,Cl* NGC 5024    SAW V61,RRLyr
2019-03-07,A05_075,T05,218.475,42.653611,A05_075T05_9000002764:: KISSR1814*,uvit2,03:04:42,SDSS J143358.56+423910.3,QSO
2019-03-07,A05_075,T06,216.6375,43.854167,A05_075T06_9000002766:: KISSR1786,uvit2,11:26:16,KISS F1424-1399,EmG
2019-03-07,A05_075,T01,188.933333,42.856667,A05_075T01_9000002768:: KISSR1347*,uvit2,17:54:54,0.0,0.0
2019-03-07,A05_104,T03,209.649171,37.43889,A05_104T03_9000002770:: arp84,uvit1,22:45:12,NOGG P1  754,GroupG
2019-03-08,A05_083,T01,205.54677900000002,28.37545,A05_083T01_9000002772:: M3,uvit1,08:21:26,Cl* NGC 5272    DSZ      20,BlueStraggler
2019-03-08,A05_082,T10,204.15977900000001,20.542479999999998,A05_082T10_9000002774:: SDSS J133638.35+203232.9,uvit1,14:48:22,2MASS J13363835+2032327,AGN
2019-03-08,A05_212,T06,196.47008300000002,-38.516667,A05_212T06_9000002776:: HD 113679,uvit2,19:53:01,HD 113679,PM*
2019-03-08,A05_176,T03,194.300865,28.492365999999997,A05_176T03_9000002778:: NGC4841Aoffset,uvit1,22:06:01,GMP 5025,Galaxy
2019-03-09,A05_118,T04,183.913333,36.326944,A05_118T04_9000002782:: NGC4214,uvit1,10:23:10,NGC  4228,StarburstG
2019-03-09,C04_001,T01,237.391917,70.348089,C04_001T01_9000002784:: Blank Sky-8,laxpc1,16:47:17,0.0,0.0
2019-03-10,A06_003,T01,187.046258,44.09363,A06_003T01_9000002786:: NGC 4449,uvit1,15:20:00,[GHG2001]  1,GlCl
2019-03-11,A06_005,T01,154.403417,-46.412471999999994,A06_005T01_9000002788:: NGC 3201,uvit1,15:50:31,NGC  3201,GlCl
2019-03-11,A06_005,T01,154.403417,-46.412471999999994,A06_005T01_9000002788:: NGC 3201,uvit1,20:48:37,NGC  3201,GlCl
2019-03-12,T03_091,T01,135.528583,-40.554691999999996,T03_091T01_9000002790:: Vela X1,laxpc2,16:19:10,V* GP Vel,HMXB
2019-03-13,A05_226,T06,154.10215,37.91277,A05_226T06_9000002792:: KUG1013+381,uvit1,06:23:17,LEDA   29998,EmG
2019-03-13,A05_072,T04,250.445208,36.543611,A05_072T04_9000002794:: NGC 6205,uvit2,13:16:42,NGC  6205   882,Star
2019-03-14,A05_165,T07,203.974167,-34.295494,A05_165T07_9000002796:: SWIFT J1335.8-3416,uvit1,13:45:59,ESO 383-35,Seyfert_1
2019-03-15,T03_091,T01,135.528583,-40.554691999999996,T03_091T01_9000002798:: Vela X1,laxpc2,14:24:03,V* GP Vel,HMXB
2019-03-16,A05_226,T06,154.10215,37.91277,A05_226T06_9000002800:: KUG1013+381,uvit1,03:25:05,LEDA   29998,EmG
2019-03-16,A05_072,T04,250.445208,36.543611,A05_072T04_9000002802:: NGC 6205,uvit2,11:15:23,NGC  6205   882,Star
2019-03-17,A05_156,T01,212.633917,39.819878,A05_156T01_9000002804:: Target 1,uvit1,11:40:00,0.0,0.0
2019-03-18,A05_115,T03,195.040167,27.21375,A05_115T03_9000002806:: Coma1,uvit1,12:06:34,BD+28  2172,Star
2019-03-19,A05_088,T03,240.181667,31.17075,A05_088T03_9000002808:: GC50+48,uvit1,07:27:29,0.0,0.0
2019-03-19,A05_024,T01,212.280829,-45.28781,A05_024T01_9000002810:: V834 Cen,sxt,20:33:44,V* V834 Cen,CataclyV*
2019-03-21,A05_173,T01,288.799121,10.946019999999999,A05_173T01_9000002812:: GRS 1915+105,laxpc1,16:13:34,Granat 1915+105,HMXB
2019-03-24,A05_194,T13,152.388083,23.382167000000003,A05_194T13_9000002814:: SDSS J100933+232255,uvit1,01:01:22,SDSS J100933.13+232255.7,LINER
2019-03-24,T03_094,T01,292.065042,19.555978,T03_094T01_9000002816:: WR 125,sxt,11:09:12,MR  93,WR*
2019-03-26,A06_003,T07,170.261979,53.16956999999999,A06_003T07_9000002818:: NGC 3631,uvit1,11:53:57,NGC  3631,IG
2019-03-27,A05_163,T01,265.990969,19.585838,A05_163T01_9000002820:: 1ES 1741+196,sxt,23:26:53,QSO B1741+196,BLLac
2019-03-30,T03_090,T01,105.048125,-66.040028,T03_090T01_9000002822:: AT2019ahk,uvit1,18:13:10,2MASX J07001137-6602251,Galaxy
2019-03-31,A05_205,T01,255.203683,-41.655961,A05_205T01_9000002824:: OAO 1657-415,laxpc1,11:37:29,NAME OAO 1657-41,HMXB
2019-04-01,A05_166,T04,254.757,-15.257981,A05_166T04_9000002826:: MAXI J1659-152,laxpc1,22:18:32,MAXI J1659-152,LMXB
2019-04-02,A05_132,T01,267.383083,-28.134944,A05_132T01_9000002828:: Swift J1749.4-2807,laxpc1,17:25:32,2XMM J174931.6-280805,LMXB
2019-04-03,A06_003,T05,143.042121,21.50083,A06_003T05_9000002830:: NGC 2903,uvit1,18:02:22,NGC  2905,HII_G
2019-04-05,A05_022,T03,160.990421,11.70381,A05_022T03_9000002832:: NGC 3351,uvit2,13:44:26,M  95,GinPair
2019-04-05,A05_046,T01,262.082921,-14.26556,A05_046T01_9000002834:: PDS 456,sxt,18:17:23,[YAZ2019] X1,Radio
2019-04-10,T03_098,T01,314.69807099999997,41.776994,T03_098T01_9000002836:: GRO J2058+42,laxpc2,01:50:00,GRO J2058+42,HMXB
2019-04-11,A05_046,T01,262.082921,-14.26556,A05_046T01_9000002838:: PDS 456,sxt,15:54:46,[YAZ2019] X1,Radio
2019-04-18,A05_063,T03,247.46266699999998,39.766528,A05_063T03_9000002840::UGC10420,uvit2,01:34:46,UGC 10420,LINER
2019-04-18,A05_075,T10,235.879167,44.0525,A05_075T10_9000002842::KISSR2010,uvit2,15:17:43,KISS F1541-1297,EmG
2019-04-18,A05_007,T06,252.320833,59.919167,A05_007T06_9000002844::draco_f1,uvit1,18:41:12,IRAS F16485+6000,IR
2019-04-19,C04_001,T01,237.391917,70.348089,C04_001T01_9000002846::Blank Sky-8,laxpc1,10:52:55,0.0,0.0
2019-04-20,A05_115,T01,194.49879199999998,27.995972,A05_115T01_9000002848::Coma6,uvit1,14:11:39,LEDA   83707,GinCl
2019-04-21,A05_088,T02,249.432875,29.727694,A05_088T02_9000002850::GC50+40,uvit1,09:57:20,0.0,0.0
2019-04-21,A05_107,T01,253.467571,39.760169,A05_107T01_9000002852::Mrk 501,sxt,21:04:44,4C 39.49,BLLac
